"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-07-11T23:41:29Z"
"Version","20230711234129"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability","From Region Code","Overhead","Region Code","serviceName","To Region Code"
"22BS4HB9AP5J48VZ","JRTCKXETXF","22BS4HB9AP5J48VZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06 per GB - Asia Pacific Data Transfer for Multi Region Access Points to Africa","2023-07-01","0","Inf","GB","0.0600000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","AP","AWS Region","ZA","AWS Region","AP-ZA-MRAP-In-Bytes","",,"",,,"Amazon Simple Storage Service",""
"22EQT5TFPEP55NEJ","JRTCKXETXF","22EQT5TFPEP55NEJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per GB for S3-API-OL-BytesReturned in US West (N. California)","2023-07-01","0","Inf","GB","0.0050000000","USD",,"AmazonS3","US West (N. California)","AWS Region",,,,,,"S3-API-OL-BytesReturned","Bytes Returned by OL APs",,,,,,"USW1-S3-API-OL-BytesReturned","",,,,"us-west-1","Amazon Simple Storage Service",
"22FG9XF7TQHJ4W5J","JRTCKXETXF","22FG9XF7TQHJ4W5J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB - flat fee for all bytes retrieved in One Zone-Infrequent Access","2023-07-01","0","Inf","GB","0.0100000000","USD","API Request","AmazonS3","Canada (Central)","AWS Region",,,,,,"S3-API-ZIA-Retrieval","Object Retrieval in One Zone-Infrequent Access",,,,,,"CAN1-Retrieval-ZIA","",,,,"ca-central-1","Amazon Simple Storage Service",
"22H2YQQ6TQ3VBW7N","JRTCKXETXF","22H2YQQ6TQ3VBW7N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00225 per GB - for bytes scanned by S3 Select in Standard","2023-07-01","0","Inf","GB","0.0022500000","USD","API Request","AmazonS3","EU (Frankfurt)","AWS Region",,,,,,"S3-API-Select-Scanned","Data Scanned by S3 Select in Standard",,,,,,"EUC1-Select-Scanned-Bytes","",,,,"eu-central-1","Amazon Simple Storage Service",
"22MT3VWMEUJD3R53","JRTCKXETXF","22MT3VWMEUJD3R53.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - EU (Milan) Data Transfer for Replication Time Control to EU (Paris)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (Milan)","AWS Region","EU (Paris)","AWS Region","EUS1-EUW3-S3RTC-Out-Bytes","",,"eu-south-1",,,"Amazon Simple Storage Service","eu-west-3"
"22X4D9UGT2ERCVXW","JRTCKXETXF","22X4D9UGT2ERCVXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 transitions to Standard-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000100000","USD",,"AmazonS3","US West (Oregon)","AWS Region",,,,,,"S3-API-Tier4","Lifecycle Transition Requests into Standard-Infrequent Access",,,,,,"USW2-Requests-Tier4","S3-SIATransition",,,,"us-west-2","Amazon Simple Storage Service",
"232PYUXABYFRRCHK","JRTCKXETXF","232PYUXABYFRRCHK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.033 per 1,000 PutObject requests to Glacier","2023-07-01","0","Inf","Requests","0.0000330000","USD",,"AmazonS3","EU (Stockholm)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","PUT requests to Glacier",,,,,,"EUN1-Requests-GLACIER-Tier1","PutObject",,,,"eu-north-1","Amazon Simple Storage Service",
"2347T44TB5DDFS7W","JRTCKXETXF","2347T44TB5DDFS7W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.004 per 10,000 GET and all other requests to Intelligent-Tiering","2023-07-01","0","Inf","Requests","0.0000004000","USD",,"AmazonS3","AWS GovCloud (US-West)","AWS Region",,,,,,"S3-API-INT-Tier2","GET and all other requests to Intelligent-Tiering",,,,,,"UGW1-Requests-INT-Tier2","",,,,"us-gov-west-1","Amazon Simple Storage Service",
"235FE7ZP6J6KMCJP","JRTCKXETXF","235FE7ZP6J6KMCJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.016 per GB-Month of storage used for small objects","2023-07-01","0","Inf","GB-Mo","0.0160000000","USD","Fee","AmazonS3","AWS GovCloud (US-West)","AWS Region",,,,"S3-Storage-ZIA-SmObject","Fee for storing small objects (<128KB) in ZIA Storage",,,,,,,,"UGW1-TimedStorage-ZIA-SmObjects","",,,,"us-gov-west-1","Amazon Simple Storage Service",
"238WANCVM9XWNETX","JRTCKXETXF","238WANCVM9XWNETX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - Asia Pacific (Seoul) Data Transfer for Replication Time Control to Canada (Central)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","Canada (Central)","AWS Region","APN2-CAN1-S3RTC-Out-Bytes","",,"ap-northeast-2",,,"Amazon Simple Storage Service","ca-central-1"
